categories_list,product,review_count,avg_rating,pos_ratio
 audio player accessories,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
 audio player accessories,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
 audio player accessories,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
 audio player accessories,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
 audio player accessories,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
 garage & office,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
 garage & office,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
 garage & office,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
 garage & office,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
 garage & office,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
 movies,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
 movies,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
 movies,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
 movies,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
 movies,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
 music,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
 music,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
 music,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
 music,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
 music,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
 tech toys,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10750,4.451720930232558,0.8255813953488372
 tech toys,"Brand New electronics brand IPad16gb 7 Ips Display Tablet Wifi 16 Gb Blue,,,",173,4.595375722543353,0.8034682080924855
 tech toys,"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",24,4.708333333333333,0.875
 tech toys,"XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers,",6,4.666666666666667,0.8333333333333334
 tech toys,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",6,4.833333333333333,1.0
 wi-fi  3g (unlocked...,"brand name Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",332,4.716867469879518,0.8554216867469879
 wi-fi  3g (unlocked...,"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,_x000D_
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",134,4.7388059701492535,0.8432835820895522
 wi-fi  3g (unlocked...,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Black",49,4.816326530612245,0.9183673469387755
 wi-fi  3g (unlocked...,"brand name Paperwhite E-reader - White, 6 High-Resolution Display (300 ppi) with Built-in Light, Wi-Fi - Includes Special Offers,,",30,4.533333333333333,0.9
 wi-fi  3g (unlocked...,"brand name Paperwhite,,,_x000D_
brand name Paperwhite,,,",9,4.888888888888889,1.0
alarms & sensors,"retail brand XYZ brand Tv,,,_x000D_
retail brand XYZ brand Tv,,,",2526,4.650039588281868,0.8416468725257323
alarms & sensors,"electonics brand Home_x000D_
electonics brand Home",2100,4.693333333333333,0.8738095238095238
alarms & sensors,"
electonics brand Home",798,4.637844611528822,0.8709273182957393
alarms & sensors,"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,_x000D_
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",317,4.728706624605678,0.8769716088328076
alarms & sensors,"retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,_x000D_
retail brand XYZ brand Hd 10 Tablet, Wi-Fi, 16 Gb, Special Offers - Silver Aluminum,,,",128,4.7734375,0.8984375
all tablets,"XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",10961,4.453243317215582,0.825107198248335
all tablets,"electronics brand product name Tablet A 10.1 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",2814,4.5867093105899075,0.8368869936034116
all tablets,"XYZ brand Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",1679,4.51340083382966,0.8141751042287075
